country;variable;percentile;year;value;age;pop
US-DC;sfiinc992t;p0p90;1917;0.6337;992;t
US-DC;sfiinc992t;p0p90;1918;0.6415;992;t
US-DC;sfiinc992t;p0p90;1919;0.664;992;t
US-DC;sfiinc992t;p0p90;1920;0.6652;992;t
US-DC;sfiinc992t;p0p90;1921;0.6302;992;t
US-DC;sfiinc992t;p0p90;1922;0.6408;992;t
US-DC;sfiinc992t;p0p90;1923;0.5707;992;t
US-DC;sfiinc992t;p0p90;1924;0.6505;992;t
US-DC;sfiinc992t;p0p90;1925;0.5812;992;t
US-DC;sfiinc992t;p0p90;1926;0.5672;992;t
US-DC;sfiinc992t;p0p90;1927;0.5563;992;t
US-DC;sfiinc992t;p0p90;1928;0.5245;992;t
US-DC;sfiinc992t;p0p90;1929;0.5286;992;t
US-DC;sfiinc992t;p0p90;1930;0.5369;992;t
US-DC;sfiinc992t;p0p90;1931;0.5017;992;t
US-DC;sfiinc992t;p0p90;1932;0.5848;992;t
US-DC;sfiinc992t;p0p90;1933;0.5736;992;t
US-DC;sfiinc992t;p0p90;1934;0.554;992;t
US-DC;sfiinc992t;p0p90;1935;0.5816;992;t
US-DC;sfiinc992t;p0p90;1936;0.5909;992;t
US-DC;sfiinc992t;p0p90;1937;0.6243;992;t
US-DC;sfiinc992t;p0p90;1938;0.6283;992;t
US-DC;sfiinc992t;p0p90;1939;0.6407;992;t
US-DC;sfiinc992t;p0p90;1940;0.6707;992;t
US-DC;sfiinc992t;p0p90;1941;0.6777;992;t
US-DC;sfiinc992t;p0p90;1942;0.7272;992;t
US-DC;sfiinc992t;p0p90;1943;0.7472;992;t
US-DC;sfiinc992t;p0p90;1944;0.7293;992;t
US-DC;sfiinc992t;p0p90;1945;0.7394;992;t
US-DC;sfiinc992t;p0p90;1946;0.7204;992;t
US-DC;sfiinc992t;p0p90;1947;0.724;992;t
US-DC;sfiinc992t;p0p90;1948;0.7305;992;t
US-DC;sfiinc992t;p0p90;1949;0.7372;992;t
US-DC;sfiinc992t;p0p90;1950;0.7212;992;t
US-DC;sfiinc992t;p0p90;1952;0.7042;992;t
US-DC;sfiinc992t;p0p90;1953;0.7182;992;t
US-DC;sfiinc992t;p0p90;1954;0.6951;992;t
US-DC;sfiinc992t;p0p90;1955;0.6736;992;t
US-DC;sfiinc992t;p0p90;1956;0.6859;992;t
US-DC;sfiinc992t;p0p90;1957;0.6994;992;t
US-DC;sfiinc992t;p0p90;1958;0.6826;992;t
US-DC;sfiinc992t;p0p90;1959;0.6484;992;t
US-DC;sfiinc992t;p0p90;1960;0.6605;992;t
US-DC;sfiinc992t;p0p90;1961;0.6443;992;t
US-DC;sfiinc992t;p0p90;1962;0.6783;992;t
US-DC;sfiinc992t;p0p90;1963;0.6895;992;t
US-DC;sfiinc992t;p0p90;1964;0.6821;992;t
US-DC;sfiinc992t;p0p90;1965;0.6957;992;t
US-DC;sfiinc992t;p0p90;1966;0.6906;992;t
US-DC;sfiinc992t;p0p90;1967;0.7002;992;t
US-DC;sfiinc992t;p0p90;1968;0.718;992;t
US-DC;sfiinc992t;p0p90;1969;0.6847;992;t
US-DC;sfiinc992t;p0p90;1970;0.6843;992;t
US-DC;sfiinc992t;p0p90;1971;0.6861;992;t
US-DC;sfiinc992t;p0p90;1972;0.7032;992;t
US-DC;sfiinc992t;p0p90;1973;0.6874;992;t
US-DC;sfiinc992t;p0p90;1974;0.6871;992;t
US-DC;sfiinc992t;p0p90;1975;0.6931;992;t
US-DC;sfiinc992t;p0p90;1976;0.6734;992;t
US-DC;sfiinc992t;p0p90;1977;0.6875;992;t
US-DC;sfiinc992t;p0p90;1978;0.6694;992;t
US-DC;sfiinc992t;p0p90;1979;0.6322;992;t
US-DC;sfiinc992t;p0p90;1980;0.6197;992;t
US-DC;sfiinc992t;p0p90;1981;0.5937;992;t
US-DC;sfiinc992t;p0p90;1982;0.5708;992;t
US-DC;sfiinc992t;p0p90;1983;0.5755;992;t
US-DC;sfiinc992t;p0p90;1984;0.5562;992;t
US-DC;sfiinc992t;p0p90;1985;0.5463;992;t
US-DC;sfiinc992t;p0p90;1986;0.4868;992;t
US-DC;sfiinc992t;p0p90;1987;0.5522;992;t
US-DC;sfiinc992t;p0p90;1988;0.5392;992;t
US-DC;sfiinc992t;p0p90;1989;0.5417;992;t
US-DC;sfiinc992t;p0p90;1990;0.5716;992;t
US-DC;sfiinc992t;p0p90;1991;0.5882;992;t
US-DC;sfiinc992t;p0p90;1992;0.5834;992;t
US-DC;sfiinc992t;p0p90;1993;0.5923;992;t
US-DC;sfiinc992t;p0p90;1994;0.5748;992;t
US-DC;sfiinc992t;p0p90;1995;0.5841;992;t
US-DC;sfiinc992t;p0p90;1996;0.5596;992;t
US-DC;sfiinc992t;p0p90;1997;0.5874;992;t
US-DC;sfiinc992t;p0p90;1998;0.5192;992;t
US-DC;sfiinc992t;p0p90;1999;0.5929;992;t
US-DC;sfiinc992t;p0p90;2000;0.484;992;t
US-DC;sfiinc992t;p0p90;2001;0.5177;992;t
US-DC;sfiinc992t;p0p90;2002;0.5301;992;t
US-DC;sfiinc992t;p0p90;2003;0.4876;992;t
US-DC;sfiinc992t;p0p90;2004;0.5034;992;t
US-DC;sfiinc992t;p0p90;2005;0.4808;992;t
US-DC;sfiinc992t;p0p90;2006;0.4726;992;t
US-DC;sfiinc992t;p0p90;2007;0.4545;992;t
US-DC;sfiinc992t;p0p90;2008;0.4819;992;t
US-DC;sfiinc992t;p0p90;2009;0.4726;992;t
US-DC;sfiinc992t;p0p90;2010;0.5001;992;t
US-DC;sfiinc992t;p0p90;2011;0.5027;992;t
US-DC;sfiinc992t;p0p90;2012;0.4465;992;t
US-DC;sfiinc992t;p0p90;2013;0.4817;992;t
US-DC;sfiinc992t;p0p90;2014;0.484;992;t
US-DC;sfiinc992t;p0p90;2015;0.4859;992;t
US-DC;sfiinc992t;p0p90;2016;0.4988;992;t
US-DC;sfiinc992t;p0p90;2017;0.4826;992;t
US-DC;sfiinc992t;p0p90;2018;0.4676;992;t
US-DC;afiinc992t;p95p100;1917;146924.4;992;t
US-DC;afiinc992t;p95p100;1918;138337.8;992;t
US-DC;afiinc992t;p95p100;1919;129682.2;992;t
US-DC;afiinc992t;p95p100;1920;113103.0;992;t
US-DC;afiinc992t;p95p100;1921;128960.9;992;t
US-DC;afiinc992t;p95p100;1922;149716.8;992;t
US-DC;afiinc992t;p95p100;1923;179697.2;992;t
US-DC;afiinc992t;p95p100;1924;153988.1;992;t
US-DC;afiinc992t;p95p100;1925;176592.9;992;t
US-DC;afiinc992t;p95p100;1926;176096.8;992;t
US-DC;afiinc992t;p95p100;1927;182312.1;992;t
US-DC;afiinc992t;p95p100;1928;201698.8;992;t
US-DC;afiinc992t;p95p100;1929;196948.8;992;t
US-DC;afiinc992t;p95p100;1930;165488.3;992;t
US-DC;afiinc992t;p95p100;1931;166336.9;992;t
US-DC;afiinc992t;p95p100;1932;148226.6;992;t
US-DC;afiinc992t;p95p100;1933;137395.5;992;t
US-DC;afiinc992t;p95p100;1934;149032.7;992;t
US-DC;afiinc992t;p95p100;1935;157713.2;992;t
US-DC;afiinc992t;p95p100;1936;181421.5;992;t
US-DC;afiinc992t;p95p100;1937;164989.3;992;t
US-DC;afiinc992t;p95p100;1938;152230.8;992;t
US-DC;afiinc992t;p95p100;1939;157914.2;992;t
US-DC;afiinc992t;p95p100;1940;162428.1;992;t
US-DC;afiinc992t;p95p100;1941;173217.2;992;t
US-DC;afiinc992t;p95p100;1942;170292.3;992;t
US-DC;afiinc992t;p95p100;1943;178095.7;992;t
US-DC;afiinc992t;p95p100;1944;159110.8;992;t
US-DC;afiinc992t;p95p100;1945;166379.8;992;t
US-DC;afiinc992t;p95p100;1946;177729.5;992;t
US-DC;afiinc992t;p95p100;1947;152328.4;992;t
US-DC;afiinc992t;p95p100;1948;155912.2;992;t
US-DC;afiinc992t;p95p100;1949;155831.8;992;t
US-DC;afiinc992t;p95p100;1950;176078.9;992;t
US-DC;afiinc992t;p95p100;1951;177655.3;992;t
US-DC;afiinc992t;p95p100;1952;169420.8;992;t
US-DC;afiinc992t;p95p100;1953;154847.5;992;t
US-DC;afiinc992t;p95p100;1954;168637.5;992;t
US-DC;afiinc992t;p95p100;1955;176401.1;992;t
US-DC;afiinc992t;p95p100;1956;174618.8;992;t
US-DC;afiinc992t;p95p100;1957;165003.5;992;t
US-DC;afiinc992t;p95p100;1958;171152.3;992;t
US-DC;afiinc992t;p95p100;1959;207366.6;992;t
US-DC;afiinc992t;p95p100;1960;190916.4;992;t
US-DC;afiinc992t;p95p100;1961;212655.8;992;t
US-DC;afiinc992t;p95p100;1962;201151.6;992;t
US-DC;afiinc992t;p95p100;1963;204003.1;992;t
US-DC;afiinc992t;p95p100;1964;224503.0;992;t
US-DC;afiinc992t;p95p100;1965;224259.9;992;t
US-DC;afiinc992t;p95p100;1966;228640.9;992;t
US-DC;afiinc992t;p95p100;1967;236566.2;992;t
US-DC;afiinc992t;p95p100;1968;230613.4;992;t
US-DC;afiinc992t;p95p100;1969;221977.2;992;t
US-DC;afiinc992t;p95p100;1970;222951.5;992;t
US-DC;afiinc992t;p95p100;1971;232701.2;992;t
US-DC;afiinc992t;p95p100;1972;231510.0;992;t
US-DC;afiinc992t;p95p100;1973;232482.3;992;t
US-DC;afiinc992t;p95p100;1974;233496.2;992;t
US-DC;afiinc992t;p95p100;1975;211915.5;992;t
US-DC;afiinc992t;p95p100;1976;225615.8;992;t
US-DC;afiinc992t;p95p100;1977;224818.9;992;t
US-DC;afiinc992t;p95p100;1978;235111.8;992;t
US-DC;afiinc992t;p95p100;1979;254011.5;992;t
US-DC;afiinc992t;p95p100;1980;257416.9;992;t
US-DC;afiinc992t;p95p100;1981;256398.0;992;t
US-DC;afiinc992t;p95p100;1982;266243.0;992;t
US-DC;afiinc992t;p95p100;1983;270575.1;992;t
US-DC;afiinc992t;p95p100;1984;296005.3;992;t
US-DC;afiinc992t;p95p100;1985;327056.7;992;t
US-DC;afiinc992t;p95p100;1986;409705.3;992;t
US-DC;afiinc992t;p95p100;1987;330758.7;992;t
US-DC;afiinc992t;p95p100;1988;380801.8;992;t
US-DC;afiinc992t;p95p100;1989;376316.0;992;t
US-DC;afiinc992t;p95p100;1990;347380.8;992;t
US-DC;afiinc992t;p95p100;1991;333644.5;992;t
US-DC;afiinc992t;p95p100;1992;351918.2;992;t
US-DC;afiinc992t;p95p100;1993;349914.5;992;t
US-DC;afiinc992t;p95p100;1994;370610.6;992;t
US-DC;afiinc992t;p95p100;1995;372918.0;992;t
US-DC;afiinc992t;p95p100;1996;425916.1;992;t
US-DC;afiinc992t;p95p100;1997;401944.0;992;t
US-DC;afiinc992t;p95p100;1998;557403.0;992;t
US-DC;afiinc992t;p95p100;1999;464814.1;992;t
US-DC;afiinc992t;p95p100;2000;656344.1;992;t
US-DC;afiinc992t;p95p100;2001;567473.6;992;t
US-DC;afiinc992t;p95p100;2002;506424.9;992;t
US-DC;afiinc992t;p95p100;2003;530563.7;992;t
US-DC;afiinc992t;p95p100;2004;639620.4;992;t
US-DC;afiinc992t;p95p100;2005;695735.6;992;t
US-DC;afiinc992t;p95p100;2006;743453.4;992;t
US-DC;afiinc992t;p95p100;2007;770676.4;992;t
US-DC;afiinc992t;p95p100;2008;633158.7;992;t
US-DC;afiinc992t;p95p100;2009;610557.4;992;t
US-DC;afiinc992t;p95p100;2010;606155.6;992;t
US-DC;afiinc992t;p95p100;2011;608212.0;992;t
US-DC;afiinc992t;p95p100;2012;721310.9;992;t
US-DC;afiinc992t;p95p100;2013;610929.0;992;t
US-DC;afiinc992t;p95p100;2014;653965.8;992;t
US-DC;afiinc992t;p95p100;2015;711430.4;992;t
US-DC;afiinc992t;p95p100;2016;672505.1;992;t
US-DC;afiinc992t;p95p100;2017;698121.0;992;t
US-DC;afiinc992t;p95p100;2018;749913.2;992;t
US-DC;sfiinc992t;p99.5p100;1917;0.1156;992;t
US-DC;sfiinc992t;p99.5p100;1918;0.1126;992;t
US-DC;sfiinc992t;p99.5p100;1919;0.1024;992;t
US-DC;sfiinc992t;p99.5p100;1920;0.0953;992;t
US-DC;sfiinc992t;p99.5p100;1921;0.0936;992;t
US-DC;sfiinc992t;p99.5p100;1922;0.1049;992;t
US-DC;sfiinc992t;p99.5p100;1923;0.0939;992;t
US-DC;sfiinc992t;p99.5p100;1924;0.1012;992;t
US-DC;sfiinc992t;p99.5p100;1925;0.1207;992;t
US-DC;sfiinc992t;p99.5p100;1926;0.1193;992;t
US-DC;sfiinc992t;p99.5p100;1927;0.1292;992;t
US-DC;sfiinc992t;p99.5p100;1928;0.1416;992;t
US-DC;sfiinc992t;p99.5p100;1929;0.1379;992;t
US-DC;sfiinc992t;p99.5p100;1930;0.1008;992;t
US-DC;sfiinc992t;p99.5p100;1931;0.0896;992;t
US-DC;sfiinc992t;p99.5p100;1932;0.0781;992;t
US-DC;sfiinc992t;p99.5p100;1933;0.0832;992;t
US-DC;sfiinc992t;p99.5p100;1934;0.0867;992;t
US-DC;sfiinc992t;p99.5p100;1935;0.09;992;t
US-DC;sfiinc992t;p99.5p100;1936;0.1044;992;t
US-DC;sfiinc992t;p99.5p100;1937;0.0951;992;t
US-DC;sfiinc992t;p99.5p100;1938;0.0878;992;t
US-DC;sfiinc992t;p99.5p100;1939;0.087;992;t
US-DC;sfiinc992t;p99.5p100;1940;0.0855;992;t
US-DC;sfiinc992t;p99.5p100;1941;0.0901;992;t
US-DC;sfiinc992t;p99.5p100;1942;0.074;992;t
US-DC;sfiinc992t;p99.5p100;1943;0.0687;992;t
US-DC;sfiinc992t;p99.5p100;1944;0.0644;992;t
US-DC;sfiinc992t;p99.5p100;1945;0.07;992;t
US-DC;sfiinc992t;p99.5p100;1946;0.0701;992;t
US-DC;sfiinc992t;p99.5p100;1947;0.0651;992;t
US-DC;sfiinc992t;p99.5p100;1948;0.0653;992;t
US-DC;sfiinc992t;p99.5p100;1949;0.0614;992;t
US-DC;sfiinc992t;p99.5p100;1950;0.0732;992;t
US-DC;sfiinc992t;p99.5p100;1951;0.0823;992;t
US-DC;sfiinc992t;p99.5p100;1952;0.0623;992;t
US-DC;sfiinc992t;p99.5p100;1953;0.0617;992;t
US-DC;sfiinc992t;p99.5p100;1954;0.0709;992;t
US-DC;sfiinc992t;p99.5p100;1955;0.0757;992;t
US-DC;sfiinc992t;p99.5p100;1956;0.0737;992;t
US-DC;sfiinc992t;p99.5p100;1957;0.0694;992;t
US-DC;sfiinc992t;p99.5p100;1958;0.0703;992;t
US-DC;sfiinc992t;p99.5p100;1959;0.0928;992;t
US-DC;sfiinc992t;p99.5p100;1960;0.0762;992;t
US-DC;sfiinc992t;p99.5p100;1961;0.0871;992;t
US-DC;sfiinc992t;p99.5p100;1962;0.08;992;t
US-DC;sfiinc992t;p99.5p100;1963;0.0784;992;t
US-DC;sfiinc992t;p99.5p100;1964;0.0831;992;t
US-DC;sfiinc992t;p99.5p100;1965;0.0761;992;t
US-DC;sfiinc992t;p99.5p100;1966;0.0778;992;t
US-DC;sfiinc992t;p99.5p100;1967;0.0727;992;t
US-DC;sfiinc992t;p99.5p100;1968;0.0761;992;t
US-DC;sfiinc992t;p99.5p100;1969;0.0768;992;t
US-DC;sfiinc992t;p99.5p100;1970;0.0675;992;t
US-DC;sfiinc992t;p99.5p100;1971;0.0688;992;t
US-DC;sfiinc992t;p99.5p100;1972;0.0695;992;t
US-DC;sfiinc992t;p99.5p100;1973;0.06;992;t
US-DC;sfiinc992t;p99.5p100;1974;0.0728;992;t
US-DC;sfiinc992t;p99.5p100;1975;0.0594;992;t
US-DC;sfiinc992t;p99.5p100;1976;0.0603;992;t
US-DC;sfiinc992t;p99.5p100;1977;0.0624;992;t
US-DC;sfiinc992t;p99.5p100;1978;0.07;992;t
US-DC;sfiinc992t;p99.5p100;1979;0.0871;992;t
US-DC;sfiinc992t;p99.5p100;1980;0.0977;992;t
US-DC;sfiinc992t;p99.5p100;1981;0.0933;992;t
US-DC;sfiinc992t;p99.5p100;1982;0.1041;992;t
US-DC;sfiinc992t;p99.5p100;1983;0.1117;992;t
US-DC;sfiinc992t;p99.5p100;1984;0.1293;992;t
US-DC;sfiinc992t;p99.5p100;1985;0.1418;992;t
US-DC;sfiinc992t;p99.5p100;1986;0.1991;992;t
US-DC;sfiinc992t;p99.5p100;1987;0.1406;992;t
US-DC;sfiinc992t;p99.5p100;1988;0.1697;992;t
US-DC;sfiinc992t;p99.5p100;1989;0.1623;992;t
US-DC;sfiinc992t;p99.5p100;1990;0.1258;992;t
US-DC;sfiinc992t;p99.5p100;1991;0.1124;992;t
US-DC;sfiinc992t;p99.5p100;1992;0.1206;992;t
US-DC;sfiinc992t;p99.5p100;1993;0.1148;992;t
US-DC;sfiinc992t;p99.5p100;1994;0.13;992;t
US-DC;sfiinc992t;p99.5p100;1995;0.1178;992;t
US-DC;sfiinc992t;p99.5p100;1996;0.1403;992;t
US-DC;sfiinc992t;p99.5p100;1997;0.1252;992;t
US-DC;sfiinc992t;p99.5p100;1998;0.1811;992;t
US-DC;sfiinc992t;p99.5p100;1999;0.1261;992;t
US-DC;sfiinc992t;p99.5p100;2000;0.2111;992;t
US-DC;sfiinc992t;p99.5p100;2001;0.1741;992;t
US-DC;sfiinc992t;p99.5p100;2002;0.1556;992;t
US-DC;sfiinc992t;p99.5p100;2003;0.1815;992;t
US-DC;sfiinc992t;p99.5p100;2004;0.187;992;t
US-DC;sfiinc992t;p99.5p100;2005;0.2081;992;t
US-DC;sfiinc992t;p99.5p100;2006;0.2132;992;t
US-DC;sfiinc992t;p99.5p100;2007;0.2248;992;t
US-DC;sfiinc992t;p99.5p100;2008;0.1848;992;t
US-DC;sfiinc992t;p99.5p100;2009;0.1837;992;t
US-DC;sfiinc992t;p99.5p100;2010;0.1698;992;t
US-DC;sfiinc992t;p99.5p100;2011;0.1665;992;t
US-DC;sfiinc992t;p99.5p100;2012;0.2246;992;t
US-DC;sfiinc992t;p99.5p100;2013;0.1684;992;t
US-DC;sfiinc992t;p99.5p100;2014;0.1783;992;t
US-DC;sfiinc992t;p99.5p100;2015;0.1869;992;t
US-DC;sfiinc992t;p99.5p100;2016;0.1699;992;t
US-DC;sfiinc992t;p99.5p100;2017;0.1711;992;t
US-DC;sfiinc992t;p99.5p100;2018;0.1814;992;t
US-DC;sfiinc992t;p0p100;1917;1.0;992;t
US-DC;sfiinc992t;p0p100;1918;1.0;992;t
US-DC;sfiinc992t;p0p100;1919;1.0;992;t
US-DC;sfiinc992t;p0p100;1920;1.0;992;t
US-DC;sfiinc992t;p0p100;1921;1.0;992;t
US-DC;sfiinc992t;p0p100;1922;1.0;992;t
US-DC;sfiinc992t;p0p100;1923;1.0;992;t
US-DC;sfiinc992t;p0p100;1924;1.0;992;t
US-DC;sfiinc992t;p0p100;1925;1.0;992;t
US-DC;sfiinc992t;p0p100;1926;1.0;992;t
US-DC;sfiinc992t;p0p100;1927;1.0;992;t
US-DC;sfiinc992t;p0p100;1928;1.0;992;t
US-DC;sfiinc992t;p0p100;1929;1.0;992;t
US-DC;sfiinc992t;p0p100;1930;1.0;992;t
US-DC;sfiinc992t;p0p100;1931;1.0;992;t
US-DC;sfiinc992t;p0p100;1932;1.0;992;t
US-DC;sfiinc992t;p0p100;1933;1.0;992;t
US-DC;sfiinc992t;p0p100;1934;1.0;992;t
US-DC;sfiinc992t;p0p100;1935;1.0;992;t
US-DC;sfiinc992t;p0p100;1936;1.0;992;t
US-DC;sfiinc992t;p0p100;1937;1.0;992;t
US-DC;sfiinc992t;p0p100;1938;1.0;992;t
US-DC;sfiinc992t;p0p100;1939;1.0;992;t
US-DC;sfiinc992t;p0p100;1940;1.0;992;t
US-DC;sfiinc992t;p0p100;1941;1.0;992;t
US-DC;sfiinc992t;p0p100;1942;1.0;992;t
US-DC;sfiinc992t;p0p100;1943;1.0;992;t
US-DC;sfiinc992t;p0p100;1944;1.0;992;t
US-DC;sfiinc992t;p0p100;1945;1.0;992;t
US-DC;sfiinc992t;p0p100;1946;1.0;992;t
US-DC;sfiinc992t;p0p100;1947;1.0;992;t
US-DC;sfiinc992t;p0p100;1948;1.0;992;t
US-DC;sfiinc992t;p0p100;1949;1.0;992;t
US-DC;sfiinc992t;p0p100;1950;1.0;992;t
US-DC;sfiinc992t;p0p100;1951;1.0;992;t
US-DC;sfiinc992t;p0p100;1952;1.0;992;t
US-DC;sfiinc992t;p0p100;1953;1.0;992;t
US-DC;sfiinc992t;p0p100;1954;1.0;992;t
US-DC;sfiinc992t;p0p100;1955;1.0;992;t
US-DC;sfiinc992t;p0p100;1956;1.0;992;t
US-DC;sfiinc992t;p0p100;1957;1.0;992;t
US-DC;sfiinc992t;p0p100;1958;1.0;992;t
US-DC;sfiinc992t;p0p100;1959;1.0;992;t
US-DC;sfiinc992t;p0p100;1960;1.0;992;t
US-DC;sfiinc992t;p0p100;1961;1.0;992;t
US-DC;sfiinc992t;p0p100;1962;1.0;992;t
US-DC;sfiinc992t;p0p100;1963;1.0;992;t
US-DC;sfiinc992t;p0p100;1964;1.0;992;t
US-DC;sfiinc992t;p0p100;1965;1.0;992;t
US-DC;sfiinc992t;p0p100;1966;1.0;992;t
US-DC;sfiinc992t;p0p100;1967;1.0;992;t
US-DC;sfiinc992t;p0p100;1968;1.0;992;t
US-DC;sfiinc992t;p0p100;1969;1.0;992;t
US-DC;sfiinc992t;p0p100;1970;1.0;992;t
US-DC;sfiinc992t;p0p100;1971;1.0;992;t
US-DC;sfiinc992t;p0p100;1972;1.0;992;t
US-DC;sfiinc992t;p0p100;1973;1.0;992;t
US-DC;sfiinc992t;p0p100;1974;1.0;992;t
US-DC;sfiinc992t;p0p100;1975;1.0;992;t
US-DC;sfiinc992t;p0p100;1976;1.0;992;t
US-DC;sfiinc992t;p0p100;1977;1.0;992;t
US-DC;sfiinc992t;p0p100;1978;1.0;992;t
US-DC;sfiinc992t;p0p100;1979;1.0;992;t
US-DC;sfiinc992t;p0p100;1980;1.0;992;t
US-DC;sfiinc992t;p0p100;1981;1.0;992;t
US-DC;sfiinc992t;p0p100;1982;1.0;992;t
US-DC;sfiinc992t;p0p100;1983;1.0;992;t
US-DC;sfiinc992t;p0p100;1984;1.0;992;t
US-DC;sfiinc992t;p0p100;1985;1.0;992;t
US-DC;sfiinc992t;p0p100;1986;1.0;992;t
US-DC;sfiinc992t;p0p100;1987;1.0;992;t
US-DC;sfiinc992t;p0p100;1988;1.0;992;t
US-DC;sfiinc992t;p0p100;1989;1.0;992;t
US-DC;sfiinc992t;p0p100;1990;1.0;992;t
US-DC;sfiinc992t;p0p100;1991;1.0;992;t
US-DC;sfiinc992t;p0p100;1992;1.0;992;t
US-DC;sfiinc992t;p0p100;1993;1.0;992;t
US-DC;sfiinc992t;p0p100;1994;1.0;992;t
US-DC;sfiinc992t;p0p100;1995;1.0;992;t
US-DC;sfiinc992t;p0p100;1996;1.0;992;t
US-DC;sfiinc992t;p0p100;1997;1.0;992;t
US-DC;sfiinc992t;p0p100;1998;1.0;992;t
US-DC;sfiinc992t;p0p100;1999;1.0;992;t
US-DC;sfiinc992t;p0p100;2000;1.0;992;t
US-DC;sfiinc992t;p0p100;2001;1.0;992;t
US-DC;sfiinc992t;p0p100;2002;1.0;992;t
US-DC;sfiinc992t;p0p100;2003;1.0;992;t
US-DC;sfiinc992t;p0p100;2004;1.0;992;t
US-DC;sfiinc992t;p0p100;2005;1.0;992;t
US-DC;sfiinc992t;p0p100;2006;1.0;992;t
US-DC;sfiinc992t;p0p100;2007;1.0;992;t
US-DC;sfiinc992t;p0p100;2008;1.0;992;t
US-DC;sfiinc992t;p0p100;2009;1.0;992;t
US-DC;sfiinc992t;p0p100;2010;1.0;992;t
US-DC;sfiinc992t;p0p100;2011;1.0;992;t
US-DC;sfiinc992t;p0p100;2012;1.0;992;t
US-DC;sfiinc992t;p0p100;2013;1.0;992;t
US-DC;sfiinc992t;p0p100;2014;1.0;992;t
US-DC;sfiinc992t;p0p100;2015;1.0;992;t
US-DC;sfiinc992t;p0p100;2016;1.0;992;t
US-DC;sfiinc992t;p0p100;2017;1.0;992;t
US-DC;sfiinc992t;p0p100;2018;1.0;992;t
US-DC;sptinc992t;p99.5p100;1917;0.1156;992;t
US-DC;sptinc992t;p99.5p100;1918;0.1126;992;t
US-DC;sptinc992t;p99.5p100;1919;0.1024;992;t
US-DC;sptinc992t;p99.5p100;1920;0.0953;992;t
US-DC;sptinc992t;p99.5p100;1921;0.0936;992;t
US-DC;sptinc992t;p99.5p100;1922;0.1049;992;t
US-DC;sptinc992t;p99.5p100;1923;0.0939;992;t
US-DC;sptinc992t;p99.5p100;1924;0.1012;992;t
US-DC;sptinc992t;p99.5p100;1925;0.1207;992;t
US-DC;sptinc992t;p99.5p100;1926;0.1193;992;t
US-DC;sptinc992t;p99.5p100;1927;0.1292;992;t
US-DC;sptinc992t;p99.5p100;1928;0.1416;992;t
US-DC;sptinc992t;p99.5p100;1929;0.1379;992;t
US-DC;sptinc992t;p99.5p100;1930;0.1008;992;t
US-DC;sptinc992t;p99.5p100;1931;0.0896;992;t
US-DC;sptinc992t;p99.5p100;1932;0.0781;992;t
US-DC;sptinc992t;p99.5p100;1933;0.0832;992;t
US-DC;sptinc992t;p99.5p100;1934;0.0867;992;t
US-DC;sptinc992t;p99.5p100;1935;0.09;992;t
US-DC;sptinc992t;p99.5p100;1936;0.1044;992;t
US-DC;sptinc992t;p99.5p100;1937;0.0951;992;t
US-DC;sptinc992t;p99.5p100;1938;0.0878;992;t
US-DC;sptinc992t;p99.5p100;1939;0.087;992;t
US-DC;sptinc992t;p99.5p100;1940;0.0855;992;t
US-DC;sptinc992t;p99.5p100;1941;0.0901;992;t
US-DC;sptinc992t;p99.5p100;1942;0.074;992;t
US-DC;sptinc992t;p99.5p100;1943;0.0687;992;t
US-DC;sptinc992t;p99.5p100;1944;0.0644;992;t
US-DC;sptinc992t;p99.5p100;1945;0.07;992;t
US-DC;sptinc992t;p99.5p100;1946;0.0701;992;t
US-DC;sptinc992t;p99.5p100;1947;0.0651;992;t
US-DC;sptinc992t;p99.5p100;1948;0.0653;992;t
US-DC;sptinc992t;p99.5p100;1949;0.0614;992;t
US-DC;sptinc992t;p99.5p100;1950;0.0732;992;t
US-DC;sptinc992t;p99.5p100;1951;0.0823;992;t
US-DC;sptinc992t;p99.5p100;1952;0.0623;992;t
US-DC;sptinc992t;p99.5p100;1953;0.0617;992;t
US-DC;sptinc992t;p99.5p100;1954;0.0709;992;t
US-DC;sptinc992t;p99.5p100;1955;0.0757;992;t
US-DC;sptinc992t;p99.5p100;1956;0.0737;992;t
US-DC;sptinc992t;p99.5p100;1957;0.0694;992;t
US-DC;sptinc992t;p99.5p100;1958;0.0703;992;t
US-DC;sptinc992t;p99.5p100;1959;0.0928;992;t
US-DC;sptinc992t;p99.5p100;1960;0.0762;992;t
US-DC;sptinc992t;p99.5p100;1961;0.0871;992;t
US-DC;sptinc992t;p99.5p100;1962;0.08;992;t
US-DC;sptinc992t;p99.5p100;1963;0.0784;992;t
US-DC;sptinc992t;p99.5p100;1964;0.0831;992;t
US-DC;sptinc992t;p99.5p100;1965;0.0761;992;t
US-DC;sptinc992t;p99.5p100;1966;0.0778;992;t
US-DC;sptinc992t;p99.5p100;1967;0.0727;992;t
US-DC;sptinc992t;p99.5p100;1968;0.0761;992;t
US-DC;sptinc992t;p99.5p100;1969;0.0768;992;t
US-DC;sptinc992t;p99.5p100;1970;0.0675;992;t
US-DC;sptinc992t;p99.5p100;1971;0.0688;992;t
US-DC;sptinc992t;p99.5p100;1972;0.0695;992;t
US-DC;sptinc992t;p99.5p100;1973;0.06;992;t
